Date_of_Payment,lat,long,pay,day
2013-08-23,39.492596,-77.461211,109.35,22
2013-08-23,40.787006,-74.325993,1012.03,22
2013-08-23,25.558428,-80.458168,1000,22
2013-08-23,27.63573,-99.592284,2400,22
2013-08-23,29.437532,-98.461582,2400,22
2013-08-23,30.191737,-81.603557,1000,22
2013-08-23,30.34494,-81.683107,1975.69,22
2013-08-23,30.540328,-87.6912,2400,22
2013-08-23,32.753927,-97.786026,3200,22
2013-08-23,33.276539,-112.18717,4800,22
2013-08-23,33.466705,-81.739059,2096.89,22
2013-08-23,33.529341,-83.849622,2.42,22
2013-08-23,33.58016,-84.326757,1000,22
2013-08-23,33.587073,-101.957394,1000,22
2013-08-23,39.762392,-86.143736,2400,22
2013-08-23,33.786594,-118.298662,8044.25,22
2013-08-23,34.839964,-115.967051,8.46,22
2013-08-23,34.909132,-82.384232,1828.39,22
2013-08-23,34.956633,-89.99624,2400,22
2013-08-23,35.078775,-89.841963,1107.52,22
2013-08-23,36.150406,-86.791598,1931.39,22
2013-08-23,36.38698,-78.396213,7.26,22
2013-08-23,37.490387,-122.212846,1600,22
2013-08-23,37.657443,-122.423483,2498.89,22
2013-08-23,38.62136,-121.332191,22.95,22
2013-08-23,38.927256,-94.714336,4346.69,22
2013-08-23,39.052158,-77.121096,21.87,22
2013-08-23,39.166759,-84.53822,1792.89,22
2013-08-23,39.233204,-94.883026,2129.79,22
2013-08-23,33.981468,-80.993483,5.35,22
2013-08-23,40.801131,-75.310958,16.41,22
2013-08-23,33.640302,-117.769442,27.84,22
2013-08-23,41.594185,-86.756985,497.67,22
2013-08-23,41.811929,-87.68732,2097.67,22
2013-08-23,42.336162,-71.072854,1842.89,22
2013-08-23,42.542715,-83.379535,1000,22
2013-08-23,42.647831,-83.355433,9.63,22
2013-08-23,43.011127,-83.803045,1600,22
2013-08-23,43.482403,-83.969391,1991.99,22
2013-08-23,44.932864,-93.367327,2000,22
2013-08-23,47.615471,-122.207221,1935,22
2013-08-23,41.097716,-74.010934,1107.52,22
2013-08-25,33.786594,-118.298662,4.24,24
2013-08-26,47.615471,-122.207221,8.54,25
2013-08-26,41.399129,-82.724417,11.8,25
2013-08-26,40.872898,-74.170138,21.37,25
2013-08-26,40.852118,-74.407706,11.11,25
2013-08-26,40.801131,-75.310958,57.76,25
2013-08-26,32.214075,-110.883744,20.54,25
2013-08-26,40.105164,-74.352814,57.76,25
2013-08-26,40.349541,-80.746759,11.8,25
2013-08-26,32.035885,-110.262611,61.62,25
2013-08-26,29.173285,-98.478975,9.68,25
2013-08-26,37.592095,-77.495206,1.87,25
2013-08-26,38.927256,-94.714336,39.99,25
2013-08-26,33.786594,-118.298662,18,25
2013-08-27,38.935202,-77.18672,98.92,26
2013-08-27,40.302238,-76.866348,20,26
2013-08-27,40.551116,-105.183385,7.52,26
2013-08-27,40.754757,-73.601772,87.85,26
2013-08-27,40.801131,-75.310958,43.51,26
2013-08-27,40.881248,-74.489349,45.18,26
2013-08-27,40.889498,-73.971782,27.95,26
2013-08-27,38.625541,-77.271644,197.84,26
2013-08-27,42.345079,-71.107653,98.92,26
2013-08-27,42.956176,-85.660693,24.92,26
2013-08-27,43.011127,-83.803045,8.47,26
2013-08-27,43.478618,-116.137752,11.36,26
2013-08-27,41.797849,-111.915564,13.35,26
2013-08-27,38.589302,-90.348116,20,26
2013-08-27,38.779391,-77.119401,98.92,26
2013-08-27,37.879825,-122.26553,153.86,26
2013-08-27,26.518049,-80.079114,98.02,26
2013-08-27,26.572627,-81.937186,18.48,26
2013-08-27,28.06374,-81.711071,10.4,26
2013-08-27,38.038331,-87.283581,18.18,26
2013-08-27,33.276539,-112.18717,31.2,26
2013-08-27,33.415987,-84.705681,20.49,26
2013-08-27,33.579122,-117.731534,3.72,26
2013-08-27,29.269288,-98.33469,23.31,26
2013-08-27,33.938206,-84.540333,20.49,26
2013-08-27,34.492718,-82.638297,42.34,26
2013-08-27,36.782012,-119.822019,48.23,26
2013-08-27,36.896749,-119.750294,48.23,26
2013-08-27,37.498586,-122.29815,153.86,26
2013-08-27,37.592095,-77.495206,192.48,26
2013-08-27,33.795016,-118.172801,98.92,26
2013-08-28,38.19188,-85.785512,199.98,27
2013-08-28,39.718539,-105.245659,14.08,27
2013-08-28,40.589139,-73.642323,85.58,27
2013-08-28,40.682088,-73.920638,42.79,27
2013-08-28,40.787006,-74.325993,115.38,27
2013-08-28,40.776629,-73.953914,124.37,27
2013-08-28,40.848745,-73.974032,115.38,27
2013-08-28,43.482403,-83.969391,39.9,27
2013-08-28,37.731229,-122.066373,115.75,27
2013-08-28,36.062203,-95.873067,16.18,27
2013-08-28,33.786594,-118.298662,56.12,27
2013-08-28,36.045543,-95.956267,19.54,27
2013-08-28,35.13573,-90.002079,15.68,27
2013-08-28,35.078775,-89.841963,5.81,27
2013-08-28,34.839964,-115.967051,105.05,27
2013-08-28,34.151161,-116.900557,105.05,27
2013-08-28,33.752886,-116.055617,105.05,27
2013-08-28,33.352925,-111.780712,11.72,27
2013-08-28,26.572627,-81.937186,20.36,27
2013-08-28,26.518049,-80.079114,21.29,27
2013-08-28,36.053498,-95.920371,1.69,27
2013-08-29,38.1012,-122.032061,120.17,28
2013-08-29,37.731229,-122.066373,120.17,28
2013-08-29,37.592095,-77.495206,9.75,28
2013-08-29,36.74651,-91.882912,40.2,28
2013-08-29,33.640302,-117.769442,12.7,28
2013-08-29,36.441768,-121.416603,71.97,28
2013-08-29,33.786594,-118.298662,128.06,28
2013-08-29,39.164225,-119.800294,7.26,28
2013-08-29,33.387296,-111.840095,15.42,28
2013-08-29,36.620989,-121.487916,25.06,28
2013-08-29,39.718539,-105.245659,7.88,28
2013-08-29,43.341346,-85.177052,18.72,28
2013-08-29,40.584028,-83.101687,4.89,28
2013-08-29,41.43503,-75.610332,11.41,28
2013-08-29,42.918544,-85.842586,9.26,28
2013-08-29,43.482403,-83.969391,18.72,28
2013-08-29,44.932864,-93.367327,11.54,28
2013-08-29,45.061416,-92.84736,11.54,28
2013-08-29,45.170399,-93.226925,11.54,28
